asof_utc,source,raw_file,row_no,ticker,company,sector,industry,country,market_cap,pe,price,change,volume,sector_raw,industry_raw,market_cap_usd,pe_num,price_num,change_pct,volume_num,has_sector,has_industry
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,38293.66,29.63,135.39,0.00%,0,Healthcare,Diagnostics & Research,38293.66,29.63,135.39,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,2,AA,Alcoa Corp,Materials,Aluminum,USA,15493.82,13.36,59.83,2.78%,19666,Basic Materials,Aluminum,15493.82,13.36,59.83,2.78,19666,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,3,AAA,Alternative Access First Priority CLO Bond ETF,Financials,Exchange Traded Fund,USA,,,25.02,0.00%,0,Financial,Exchange Traded Fund,,,25.02,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,4,AAAA,Amplius Aggressive Asset Allocation ETF,Financials,Exchange Traded Fund,USA,,,27.99,0.00%,0,Financial,Exchange Traded Fund,,,27.99,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,5,AAAC,Columbia AAA CLO ETF,Financials,Exchange Traded Fund,USA,,,20.05,0.00%,0,Financial,Exchange Traded Fund,,,20.05,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,6,AAAU,Goldman Sachs Physical Gold ETF,Financials,Exchange Traded Fund,USA,,,48.3,5.16%,26628,Financial,Exchange Traded Fund,,,48.3,5.16,26628,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,7,AACB,Artius II Acquisition Inc,Financials,Shell Companies,USA,287.54,,10.39,0.00%,0,Financial,Shell Companies,287.54,,10.39,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,8,AACG,ATA Creativity Global ADR,Consumer Staples,Education & Training Services,China,32.87,,1.03,0.00%,0,Consumer Defensive,Education & Training Services,32.87,,1.03,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financials,Exchange Traded Fund,USA,,,93.38,0.00%,0,Financial,Exchange Traded Fund,,,93.38,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,10,AAEQ,Alpha Architect US Equity 2 ETF,Financials,Exchange Traded Fund,USA,,,49.62,0.00%,0,Financial,Exchange Traded Fund,,,49.62,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,11,AAL,American Airlines Group Inc,Industrials,Airlines,USA,9175.2,83.48,13.9,1.53%,86376,Industrials,Airlines,9175.2,83.48,13.9,1.53,86376,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,12,AALG,Leverage Shares 2X Long AAL Daily ETF,Financials,Exchange Traded Fund,USA,,,13.73,0.00%,0,Financial,Exchange Traded Fund,,,13.73,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,13,AAM,AA Mission Acquisition Corp,Financials,Shell Companies,USA,468.76,32.76,10.66,0.00%,0,Financial,Shell Companies,468.76,32.76,10.66,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,14,AAME,Atlantic American Corp,Financials,Insurance - Life,USA,54.66,11.89,2.68,0.00%,0,Financial,Insurance - Life,54.66,11.89,2.68,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,15,AAMI,Acadian Asset Management Inc,Financials,Asset Management,USA,1994.35,23.56,55.85,0.00%,0,Financial,Asset Management,1994.35,23.56,55.85,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,16,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,3154.53,,46.2,4.62%,43527,Technology,Communication Equipment,3154.53,,46.2,4.62,43527,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,17,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7353.6,74.78,90.08,0.00%,0,Industrials,Building Products & Equipment,7353.6,74.78,90.08,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,18,AAP,Advance Auto Parts Inc,Consumer Discretionary,Auto Parts,USA,2923.68,,48.71,0.00%,0,Consumer Cyclical,Auto Parts,2923.68,,48.71,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,19,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financials,Exchange Traded Fund,USA,,,30.81,-1.57%,1918,Financial,Exchange Traded Fund,,,30.81,-1.57,1918,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,20,AAPD,Direxion Daily AAPL Bear 1X Shares,Financials,Exchange Traded Fund,USA,,,13.31,0.83%,8040,Financial,Exchange Traded Fund,,,13.31,0.83,8040,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,21,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,2149.71,,23.17,0.00%,0,Healthcare,Biotechnology,2149.71,,23.17,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,22,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3942865.71,33.94,268.26,-0.65%,153348,Technology,Consumer Electronics,3942865.71,33.94,268.26,-0.65,153348,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,23,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financials,Exchange Traded Fund,USA,,,28.58,0.00%,0,Financial,Exchange Traded Fund,,,28.58,0,0,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,24,AAPU,Direxion Daily AAPL Bull 2X Shares,Financials,Exchange Traded Fund,USA,,,32.27,-1.28%,36110,Financial,Exchange Traded Fund,,,32.27,-1.28,36110,TRUE,TRUE
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,25,AAPW,Roundhill AAPL WeeklyPay ETF,Financials,Exchange Traded Fund,USA,,,39.14,0.00%,0,Financial,Exchange Traded Fund,,,39.14,0,0,TRUE,TRUE
