asof_utc,source,raw_file,no.,ticker,company,sector,industry,country,market_cap,p/e,price,change,volume
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,38293.66,29.63,135.39,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,15493.82,13.36,59.83,2.78%,19666
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,,25.02,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,,27.99,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,,,20.05,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,6,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,48.3,5.16%,26628
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,7,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,287.54,,10.39,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,8,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,32.87,,1.03,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,93.38,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,10,AAEQ,Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,,,49.62,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,11,AAL,American Airlines Group Inc,Industrials,Airlines,USA,9175.2,83.48,13.9,1.53%,86376
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,12,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,,13.73,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,13,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,468.76,32.76,10.66,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,14,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,54.66,11.89,2.68,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,15,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1994.35,23.56,55.85,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,16,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,3154.53,,46.2,4.62%,43527
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,17,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7353.6,74.78,90.08,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,18,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,2923.68,,48.71,0.00%,0
2026-02-03T12:38:54Z,finviz_elite_export,export_v111_all_20260203_123611_d1c605c9bb.parsed.csv,19,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,,30.81,-1.57%,1918
