ticker,company,sector,industry,country,market_cap_usd,market_cap_fmt,pe_num,price_num,change_pct,volume_num
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,38293660000,38.2937B,29.63,135.39,0,0
AA,Alcoa Corp,Materials,Aluminum,USA,15493820000,15.4938B,13.36,59.83,2.78,19666
AAL,American Airlines Group Inc,Industrials,Airlines,USA,9175200000,9.1752B,83.48,13.9,1.53,86376
AAM,AA Mission Acquisition Corp,Financials,Shell Companies,USA,468760000,468.7600M,32.76,10.66,0,0
AAMI,Acadian Asset Management Inc,Financials,Asset Management,USA,1994350000,1.9944B,23.56,55.85,0,0
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,3154530000,3.1545B,,46.2,4.62,43527
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7353600000,7.3536B,74.78,90.08,0,0
AAP,Advance Auto Parts Inc,Consumer Discretionary,Auto Parts,USA,2923680000,2.9237B,,48.71,0,0
AAPL,Apple Inc,Technology,Consumer Electronics,USA,3.94287E+12,3.9429T,33.94,268.26,-0.65,153348
AB,AllianceBernstein Holding Lp,Financials,Asset Management,USA,3810800000,3.8108B,13.8,41.88,0,0
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,519880000,519.8800M,,4,2.56,4218
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,3.98422E+11,398.4215B,170.1,225.43,-0.09,729
ABCB,Ameris Bancorp,Financials,Banks - Regional,USA,5565640000,5.5656B,13.57,81.47,1.98,31
ABG,Asbury Automotive Group Inc,Consumer Discretionary,Auto & Truck Dealerships,USA,4583500000,4.5835B,8.27,235.77,0,0
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2790440000,2.7904B,17.92,46.37,0,0
ABNB,Airbnb Inc,Consumer Discretionary,Travel Services,USA,80637020000,80.6370B,30.99,131,-0.24,1140
ABSI,Absci Corp,Healthcare,Biotechnology,USA,455620000,455.6200M,,3.03,0.33,3670
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,1.90146E+11,190.1456B,29.53,109.35,-0.05,1807
ABTC,American Bitcoin Corp,Financials,Capital Markets,USA,1345030000,1.3450B,,1.45,1.4,16713
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,844300000,844.3000M,,4.39,0,0
ABX,Abacus Global Management Inc,Financials,Insurance - Life,USA,786910000,786.9100M,103.07,8.05,0,0
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,5707860000,5.7079B,38.53,116.38,0,0
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,4297220000,4.2972B,16.34,25.4,-2.79,40
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,357840000,357.8400M,9.24,3.97,0,0
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,983940000,983.9400M,,5.44,0,0
ACEL,Accel Entertainment Inc,Consumer Discretionary,Gambling,USA,948570000,948.5700M,22.57,11.4,0,0
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,1218730000,1.2187B,11.21,13.21,0,0
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,5260010000,5.2600B,,7.18,1.84,67086
ACI,Albertsons Companies Inc,Consumer Staples,Grocery Stores,USA,8664580000,8.6646B,10.86,16.86,0,0
ACIC,American Coastal Insurance Corp,Financials,Insurance - Property & Casualty,USA,547150000,547.1500M,6.48,11.22,0,0
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,4479170000,4.4792B,17.57,43.45,0,0
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2740210000,2.7402B,21.1,89.26,0.51,798
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,4016950000,4.0169B,,69.47,0,0
ACM,AECOM,Industrials,Engineering & Construction,USA,12515500000,12.5155B,21.31,96.81,0,0
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,4086570000,4.0866B,36.82,62.99,3.06,8527
ACNB,ACNB Corp,Financials,Banks - Regional,USA,534710000,534.7100M,14.52,51.49,0,0
ACP,abrdn Income Credit Strategies Fund,Financials,Closed-End Fund - Debt,USA,697620000,697.6200M,16.85,5.56,-1.24,30
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,383550000,383.5500M,,3.54,-1.94,1
ACT,Enact Holdings Inc,Financials,Insurance - Specialty,USA,5840810000,5.8408B,9.29,40.45,0,0
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,392590000,392.5900M,81.89,4.07,0,0
ACVA,ACV Auctions Inc,Consumer Discretionary,Auto & Truck Dealerships,USA,1313660000,1.3137B,,7.63,0.13,5
AD,Array Digital Infrastructure Inc,Communication Services,Telecom Services,USA,4188100000,4.1881B,16.57,48.47,0,0
ADBE,Adobe Inc,Technology,Software - Application,USA,1.1884E+11,118.8397B,17.33,289.5,-1.32,17894
ADEA,Adeia Inc,Technology,Software - Application,USA,2057700000,2.0577B,28.95,18.79,0,0
ADI,Analog Devices Inc,Technology,Semiconductors,USA,1.54128E+11,154.1281B,69.03,315.43,-0.45,663
ADM,Archer Daniels Midland Co,Consumer Staples,Farm Products,USA,31035200000,31.0352B,26.27,64.58,-5.14,9465
ADMA,Adma Biologics Inc,Healthcare,Biotechnology,USA,4164960000,4.1650B,20.55,17.5,0,0
ADNT,Adient plc,Consumer Discretionary,Auto Parts,USA,1658220000,1.6582B,,20.95,0,0
ADP,Automatic Data Processing Inc,Technology,Software - Application,USA,98873350000,98.8734B,23.59,245.56,-0.81,2289
ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology,USA,2807510000,2.8075B,,18.39,0,0
ADSK,Autodesk Inc,Technology,Software - Application,USA,54293200000,54.2932B,49.72,256.1,0.21,904
ADT,ADT Inc,Industrials,Security & Protection Services,USA,6648270000,6.6483B,11.58,8.11,1.37,25058
ADTN,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,761910000,761.9100M,,9.51,1.49,2509
ADUS,Addus HomeCare Corporation,Healthcare,Medical Care Facilities,USA,1946660000,1.9467B,22.54,105.32,0,0
ADV,Advantage Solutions Inc,Communication Services,Advertising Agencies,USA,371950000,371.9500M,,1.14,0,0
ADX,Adams Diversified Equity Fund,Financials,Closed-End Fund - Equity,USA,2815730000,2.8157B,7.71,23.44,0.09,1642
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric,USA,27698680000,27.6987B,19.7,102.4,0,0
AEF,abrdn Emerging Markets ex-China Fund Inc,Financials,Closed-End Fund - Equity,USA,316690000,316.6900M,8.21,7.8,0,0
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,806420000,806.4200M,,26.33,1.04,699
AEIS,Advanced Energy Industries Inc,Industrials,Electrical Equipment & Parts,USA,9882520000,9.8825B,68.88,261.82,0,0
AENT,Alliance Entertainment Holding Corporation,Communication Services,Entertainment,USA,392880000,392.8800M,20.09,7.71,0,0
AEO,American Eagle Outfitters Inc,Consumer Discretionary,Apparel Retail,USA,4180170000,4.1802B,21.29,24.66,0.04,1764
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric,USA,63172690000,63.1727B,17.31,118.28,-0.04,1061
AES,AES Corp,Utilities,Utilities - Diversified,USA,11308480000,11.3085B,9.67,15.88,7.81,204489
AESI,Atlas Energy Solutions Inc,Energy,Oil & Gas Equipment & Services,USA,1459270000,1.4593B,,11.77,0,0
AEVA,Aeva Technologies Inc,Technology,Software - Infrastructure,USA,785240000,785.2400M,,13.07,2.43,2801
AEXA,American Exceptionalism Acquisition Corp. A,Financials,Shell Companies,USA,577700000,577.7000M,,11.68,0,0
AFB,AllianceBernstein National Municipal Income Fund Inc,Financials,Closed-End Fund - Debt,USA,316190000,316.1900M,91.67,11,0,0
AFG,American Financial Group Inc,Financials,Insurance - Property & Casualty,USA,10854140000,10.8541B,13.65,130.14,0,0
AFJK,Aimei Health Technology Co Ltd,Financials,Shell Companies,USA,329040000,329.0400M,266.75,53.75,0,0
AFL,Aflac Inc,Financials,Insurance - Life,USA,58674550000,58.6746B,14.6,111.95,0,0
AFRM,Affirm Holdings Inc,Financials,Credit Services,USA,21286450000,21.2864B,95.57,64.49,4.03,62721
AGCO,AGCO Corp,Industrials,Farm & Heavy Construction Machinery,USA,8557080000,8.5571B,22.84,114.67,0,0
AGD,abrdn Global Dynamic Dividend Fund,Financials,Closed-End Fund - Foreign,USA,308480000,308.4800M,,12.4,0,0
AGIO,Agios Pharmaceuticals Inc,Healthcare,Biotechnology,USA,1642120000,1.6421B,,28.16,0,0
AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA,343230000,343.2300M,,0.83,0,0
AGM,Federal Agricultural Mortgage Corp,Financials,Credit Services,USA,1811990000,1.8120B,9.68,170,-0.14,1
AGX,"Argan, Inc",Industrials,Engineering & Construction,USA,4966680000,4.9667B,42.19,358,0.63,94
AGYS,"Agilysys, Inc",Technology,Software - Application,USA,2508660000,2.5087B,83.26,89.25,0,0
AHCO,AdaptHealth Corp,Healthcare,Medical Devices,USA,1355600000,1.3556B,18.36,10.01,-0.89,199
AI,C3.ai Inc,Technology,Software - Infrastructure,USA,1551110000,1.5511B,,11.02,0.92,11185
AIG,American International Group Inc,Financials,Insurance - Diversified,USA,39831500000,39.8315B,13.23,73.82,-0.14,494
AII,American Integrity Insurance Group Inc,Financials,Insurance - Property & Casualty,USA,371960000,371.9600M,,19,0,0
AIN,Albany International Corp,Consumer Discretionary,Textile Manufacturing,USA,1628150000,1.6281B,,56.73,0,0
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,Financials,Closed-End Fund - Equity,USA,778820000,778.8200M,5.41,22.62,0,0
AIOT,PowerFleet Inc,Technology,Software - Infrastructure,USA,685180000,685.1800M,,5.12,0,0
AIP,Arteris Inc,Technology,Semiconductors,USA,662680000,662.6800M,,15.17,0,0
AIR,AAR Corp,Industrials,Aerospace & Defense,USA,4259190000,4.2592B,41.88,107.63,-0.34,81
AIRO,AIRO Group Holdings Inc,Industrials,Aerospace & Defense,USA,319610000,319.6100M,,10.21,1.59,108
AIT,Applied Industrial Technologies Inc,Industrials,Industrial Distribution,USA,10072400000,10.0724B,25.69,270.02,0,0
AIZ,Assurant Inc,Financials,Insurance - Property & Casualty,USA,12109610000,12.1096B,14.71,241.8,0.59,200
AJG,Arthur J. Gallagher & Co,Financials,Insurance Brokers,USA,62982760000,62.9828B,42.67,245.26,0,15
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,13918960000,13.9190B,28.37,96.75,0.12,1237
AKBA,Akebia Therapeutics Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,366210000,366.2100M,,1.38,0,0
AKTS,Aktis Oncology Inc,Healthcare,Biotechnology,USA,1154440000,1.1544B,,21.98,0,0
AL,Air Lease Corp,Industrials,Rental & Leasing Services,USA,7218900000,7.2189B,7.49,64.59,0,0
ALAB,Astera Labs Inc,Technology,Semiconductors,USA,26453690000,26.4537B,139.44,156.62,2.74,14048
ALB,Albemarle Corp,Materials,Specialty Chemicals,USA,20538220000,20.5382B,,174.5,5.8,19161
ALCO,Alico Inc,Consumer Staples,Farm Products,USA,317520000,317.5200M,,41.47,0,0
ALDF,Aldel Financial II Inc,Financials,Shell Companies,USA,316300000,316.3000M,41.71,10.59,0,0
ALDX,Aldeyra Therapeutics Inc,Healthcare,Biotechnology,USA,329690000,329.6900M,,5.48,0.92,951
ALF,Centurion Acquisition Corp,Financials,Shell Companies,USA,384920000,384.9200M,31.73,10.71,0,0
ALG,Alamo Group Inc,Industrials,Farm & Heavy Construction Machinery,USA,2362510000,2.3625B,20.22,195,0,0
ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,7133700000,7.1337B,,38.5,2.86,2213
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies,USA,11626370000,11.6264B,31.4,162.04,-0.97,788
ALGT,Allegiant Travel,Industrials,Airlines,USA,1667630000,1.6676B,,91.06,0,0
ALH,Alliance Laundry Holdings Inc,Consumer Discretionary,"Furnishings, Fixtures & Appliances",USA,4431630000,4.4316B,,22.45,0,0
ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans,USA,4532080000,4.5321B,,22.65,0,0
ALIT,Alight Inc,Technology,Software - Application,USA,863780000,863.7800M,,1.62,0,0
ALK,Alaska Air Group Inc,Industrials,Airlines,USA,6076640000,6.0766B,59.84,52.39,-0.47,228
ALKT,Alkami Technology Inc,Technology,Software - Application,USA,2097980000,2.0980B,,19.98,0,0
ALL,Allstate Corp,Financials,Insurance - Property & Casualty,USA,52592790000,52.5928B,6.51,200.98,0.11,241
ALLO,Allogene Therapeutics Inc,Healthcare,Biotechnology,USA,433730000,433.7300M,,1.93,3.21,6885
ALLY,Ally Financial Inc,Financials,Credit Services,USA,12987520000,12.9875B,17.94,42.16,0,0
ALMS,Alumis Inc,Healthcare,Biotechnology,USA,3355430000,3.3554B,,26.91,1.85,1509
ALNT,Allient Inc,Technology,Electronic Components,USA,1071510000,1.0715B,56.6,63.24,0,0
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,Biotechnology,USA,44774690000,44.7747B,1409.78,338.91,-0.06,40
ALRM,Alarm.com Holdings Inc,Technology,Software - Application,USA,2419160000,2.4192B,20.52,48.5,0,0
ALRS,Alerus Financial Corp,Financials,Banks - Regional,USA,636460000,636.4600M,38.79,25.06,0,0
ALSN,Allison Transmission Holdings Inc,Consumer Discretionary,Auto Parts,USA,9175130000,9.1751B,13.5,110.24,0,0
ALT,Altimmune Inc,Healthcare,Biotechnology,USA,695030000,695.0300M,,5.55,0,0
ALTI,AlTi Global Inc,Financials,Asset Management,USA,693670000,693.6700M,,4.73,0,0
ALUB,Alussa Energy Acquisition Corp. II,Financials,Shell Companies,USA,361530000,361.5300M,,10.06,0,0
ALUB-U,Alussa Energy Acquisition Corp. II,Financials,Shell Companies,USA,361530000,361.5300M,,10.22,0,0
AM,Antero Midstream Corp,Energy,Oil & Gas Midstream,USA,8811090000,8.8111B,18.96,18.5,0,0
AMAL,Amalgamated Financial Corp,Financials,Banks - Regional,USA,1203140000,1.2031B,11.77,40.19,0,0
