no.,ticker,company,sector,industry,country,market_cap,p/e,price,change,volume
1,A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,38293.66,29.63,135.39,0.00%,0.0
2,AA,Alcoa Corp,Basic Materials,Aluminum,USA,15493.82,13.36,59.83,2.78%,19666.0
3,AAA,Alternative Access First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,,,25.02,0.00%,0.0
4,AAAA,Amplius Aggressive Asset Allocation ETF,Financial,Exchange Traded Fund,USA,,,27.99,0.00%,0.0
5,AAAC,Columbia AAA CLO ETF,Financial,Exchange Traded Fund,USA,,,20.05,0.00%,0.0
6,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,,,48.3,5.16%,26628.0
7,AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,287.54,,10.39,0.00%,0.0
8,AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,32.87,,1.03,0.00%,0.0
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,,,93.38,0.00%,0.0
10,AAEQ,Alpha Architect US Equity 2 ETF,Financial,Exchange Traded Fund,USA,,,49.62,0.00%,0.0
11,AAL,American Airlines Group Inc,Industrials,Airlines,USA,9175.2,83.48,13.9,1.53%,86376.0
12,AALG,Leverage Shares 2X Long AAL Daily ETF,Financial,Exchange Traded Fund,USA,,,13.73,0.00%,0.0
13,AAM,AA Mission Acquisition Corp,Financial,Shell Companies,USA,468.76,32.76,10.66,0.00%,0.0
14,AAME,Atlantic American Corp,Financial,Insurance - Life,USA,54.66,11.89,2.68,0.00%,0.0
15,AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,1994.35,23.56,55.85,0.00%,0.0
16,AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,3154.53,,46.2,4.62%,43527.0
17,AAON,AAON Inc,Industrials,Building Products & Equipment,USA,7353.6,74.78,90.08,0.00%,0.0
18,AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,2923.68,,48.71,0.00%,0.0
19,AAPB,GraniteShares 2x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,,,30.81,-1.57%,1918.0
20,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,,,13.31,0.83%,8040.0
21,AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,2149.71,,23.17,0.00%,0.0
22,AAPL,Apple Inc,Technology,Consumer Electronics,USA,3942865.71,33.94,268.26,-0.65%,153348.0
23,AAPR,Innovator Equity Defined Protection ETF - 2 Yr to April 2026,Financial,Exchange Traded Fund,USA,,,28.58,0.00%,0.0
24,AAPU,Direxion Daily AAPL Bull 2X Shares,Financial,Exchange Traded Fund,USA,,,32.27,-1.28%,36110.0
