date,open,high,low,close,volume
03/01/2023,130.28,130.89999,124.17,125.07,112117500
04/01/2023,126.89,128.66,125.08,126.36,89113600
05/01/2023,127.13,127.77,124.76,125.02,80962700
06/01/2023,126.01,130.28999,124.89,129.62,87754700
09/01/2023,130.47,133.41,129.89,130.14999,70790800
10/01/2023,130.25999,131.25999,128.12,130.73,63896200
11/01/2023,131.25,133.50999,130.46001,133.49001,69458900
12/01/2023,133.88,134.25999,131.44,133.41,71379600
13/01/2023,132.03,134.92,131.66,134.75999,57809700
17/01/2023,134.83,137.28999,134.13,135.94,63646600
18/01/2023,136.82001,138.61,135.03,135.21001,69672800
19/01/2023,134.08,136.25,133.77,135.27,58280400
20/01/2023,135.28,138.02,134.22,137.87,80223600
23/01/2023,138.12,143.32001,137.89999,141.11,81760300
24/01/2023,140.31,143.16,140.3,142.53,66435100
25/01/2023,140.89,142.42999,138.81,141.86,65799300
26/01/2023,143.17,144.25,141.89999,143.96001,54105100
27/01/2023,143.16,147.23,143.08,145.92999,70555800
30/01/2023,144.96001,145.55,142.85001,143,64015300
31/01/2023,142.7,144.34,142.28,144.28999,65874500
01/02/2023,143.97,146.61,141.32001,145.42999,77663600
02/02/2023,148.89999,151.17999,148.17,150.82001,118339000
03/02/2023,148.03,157.38,147.83,154.5,154357300
06/02/2023,152.57001,153.10001,150.78,151.73,69858300
07/02/2023,150.64,155.23,150.64,154.64999,83322600
08/02/2023,153.88,154.58,151.17,151.92,64120100
09/02/2023,153.78,154.33,150.42,150.87,56007100
10/02/2023,149.46001,151.34,149.22,151.00999,57450700
13/02/2023,150.95,154.25999,150.92,153.85001,62199000
14/02/2023,152.12,153.77,150.86,153.2,61707600
15/02/2023,153.11,155.5,152.88,155.33,65573800
16/02/2023,153.50999,156.33,153.35001,153.71001,68167900
17/02/2023,152.35001,153,150.85001,152.55,59144100
21/02/2023,150.2,151.3,148.41,148.48,58867200
22/02/2023,148.87,149.95,147.16,148.91,51011300
23/02/2023,150.09,150.34,147.24001,149.39999,48394200
24/02/2023,147.11,147.19,145.72,146.71001,55469600
27/02/2023,147.71001,149.17,147.45,147.92,44998500
28/02/2023,147.05,149.08,146.83,147.41,50547000
01/03/2023,146.83,147.23,145.00999,145.31,55479000
02/03/2023,144.38,146.71001,143.89999,145.91,52238100
03/03/2023,148.03999,151.11,147.33,151.03,70732300
06/03/2023,153.78999,156.3,153.46001,153.83,87558000
07/03/2023,153.7,154.03,151.13,151.60001,56182000
08/03/2023,152.81,153.47,151.83,152.87,47204800
09/03/2023,153.56,154.53999,150.23,150.59,53833600
10/03/2023,150.21001,150.94,147.61,148.5,68572400
