date,open,high,low,close,volume
2023-01-03,151.96001,153.13,148.47,150.03999,1414300
2023-01-04,151.64999,153.03999,150.24001,151.67,1247400
2023-01-05,150.0,153.07001,148.77,152.11,1714600
2023-01-06,154.36,154.64,143.00999,147.67,2445000
2023-01-09,149.69,151.28,147.2,147.47,1269600
2023-01-10,150.17999,155.55,148.75,155.23,1565700
2023-01-11,155.23,158.58,155.23,158.17,1241900
2023-01-12,158.16,158.60001,155.58,156.49001,809100
2023-01-13,155.53999,157.28,154.5,156.92,921700
2023-01-17,156.67999,158.11,155.03,155.39999,1602200
2023-01-18,156.25999,158.16,153.64,154.07001,1150700
2023-01-19,153.58,154.92,152.14,152.87,1017400
2023-01-20,153.5,156.00999,152.41,155.92,1343700
2023-01-23,156.0,159.59,155.67,159.06,974900
2023-01-24,156.27,158.50999,154.46001,155.69,1121500
2023-01-25,154.0,156.53999,152.83,155.75999,736200
2023-01-26,156.97,157.66,155.19,156.23,776300
2023-01-27,155.75,156.96001,154.81,155.69,646200
2023-01-30,154.5,155.52,150.88,151.74001,1401100
2023-01-31,151.61,153.46001,150.21001,152.08,1995400
2023-02-01,153.31,156.28999,151.72,155.45,1499900
2023-02-02,156.66,157.31,154.77,155.5,1725600
2023-02-03,153.17,155.42,152.74001,154.55,992800
2023-02-06,152.73,154.39999,151.36,152.24001,771500
2023-02-07,151.49001,154.96001,151.13,154.50999,1126700
2023-02-08,153.64,155.17,153.23,154.42,1073500
2023-02-09,155.67,156.32001,151.53999,152.38,852200
2023-02-10,151.8,152.99001,151.07001,152.55,934800
2023-02-13,153.27,154.66,152.00999,154.60001,925400
2023-02-14,154.34,155.75,151.45,153.03999,895400
2023-02-15,152.22,152.32001,150.3,151.75,982400
2023-02-16,148.81,150.16,147.23,148.28,1101700
2023-02-17,147.25999,148.94,146.49001,148.25999,1194800
2023-02-21,146.60001,146.64999,142.63,143.42,1693800
2023-02-22,143.37,143.44,140.95,142.08,1691300
2023-02-23,142.09,143.58,141.31,143.2,1511500
2023-02-24,141.46001,142.24001,138.72,141.2,1522100
2023-02-27,142.88,143.75999,141.81,142.17999,1149600
2023-02-28,141.75,143.38,141.39,141.97,2342500
2023-03-01,138.58,139.99001,136.25,137.50999,3132800
2023-03-02,136.3,141.72,136.08,141.67,1879200
2023-03-03,142.53999,144.44,141.98,143.92999,1147800
2023-03-06,143.35001,145.44,142.67999,143.23,1153600
2023-03-07,143.56,143.66,140.23,140.33,1088400
2023-03-08,140.14999,141.58,139.38,140.89999,1135900
2023-03-09,141.25999,142.0,138.3,138.92999,1328900
2023-03-10,139.19,139.44,134.71001,135.72,1896000
2023-03-13,135.55,138.28,134.75999,136.69,1771400
2023-03-14,138.44,139.60001,136.42999,138.39999,1255400
2023-03-15,135.92999,135.92999,132.2,134.03,2016700
2023-03-16,133.97,137.05,132.37,136.82001,1789300
2023-03-17,136.89,136.92,132.73,133.17999,2046000
2023-03-20,133.14,135.38,132.73,134.53999,1704500
2023-03-21,135.56,137.42,135.22,137.00999,1392300
2023-03-22,136.96001,137.53999,133.60001,133.73,1268500
2023-03-23,134.66,135.07001,129.37,131.13,3297900
2023-03-24,130.14,131.98,128.22,131.96001,1571600
2023-03-27,133.58,134.62,132.73,133.07001,1216300
2023-03-28,132.53999,133.31,132.00999,132.63,942600
2023-03-29,133.95,134.24001,132.63,133.85001,1002800
2023-03-30,135.27,135.53999,133.32001,134.49001,1468200
2023-03-31,135.39999,138.73,134.86,138.34,2579800
2023-04-03,137.42,138.09,136.00999,137.86,1551800
2023-04-04,138.25,139.11,137.53,138.21001,1778700
2023-04-05,137.74001,139.27,136.67,138.09,2312100
2023-04-06,138.00999,138.13,136.59,138.03,1206200
2023-04-10,137.38,138.08,135.86,138.02,1104600
2023-04-11,138.87,139.92999,138.14999,138.52,1241100
2023-04-12,140.19,141.35001,137.82001,138.36,1058400
2023-04-13,139.17999,141.48,138.99001,141.28,1030900
2023-04-14,140.36,141.19,138.92999,139.2,954300
2023-04-17,139.62,140.21001,138.89,140.19,1115500
2023-04-18,140.73,140.99001,138.21001,139.0,1218900
2023-04-19,138.37,139.62,137.67999,138.92999,1178400
2023-04-20,136.86,137.05,134.87,135.53,1325900
2023-04-21,136.21001,138.56,136.21001,138.5,1533600
2023-04-24,138.8,139.52,138.09,138.48,856700
2023-04-25,136.53999,136.78,129.72,130.37,2154900
2023-04-26,128.14999,133.84,128.11,133.12,3003800
2023-04-27,132.96001,133.86,131.33,133.25,1125300
2023-04-28,133.45,136.92999,133.45,135.42999,2032800
2023-05-01,136.02,137.14,135.75999,136.08,1012900
2023-05-02,135.02,137.16,134.25999,134.52,1629600
2023-05-03,135.89,136.53999,134.63,134.77,1529100
2023-05-04,135.38,136.03999,133.75999,133.88,1103700
2023-05-05,135.3,135.41,131.91,133.3,1890100
2023-05-08,134.00999,134.21001,131.75,132.45,1005300
2023-05-09,128.5,128.5,125.36,127.35,3437100
2023-05-10,128.71001,128.89999,126.16,128.06,1255700
2023-05-11,127.17,127.7,125.47,127.66,1580600
2023-05-12,128.67999,128.67999,126.53,127.49,1422600
2023-05-15,127.94,128.19,126.75,127.99,1262800
2023-05-16,126.97,127.4,125.79,126.29,1190000
2023-05-17,127.04,127.79,125.78,127.77,1968200
2023-05-18,127.65,129.33,126.49,129.14,1637000
2023-05-19,129.59,130.47,128.62,128.87,1480400
2023-05-22,128.66,129.75,128.28999,129.09,1764500
2023-05-23,129.03,130.53999,127.91,128.64,2784400
2023-05-24,115.2,121.09,113.28,120.99,6850400
2023-05-25,121.41,121.41,117.64,119.49,3218900
2023-05-26,120.07,120.72,118.38,120.42,2089100
2023-05-30,120.01,121.31,117.67,117.73,2094800
2023-05-31,116.99,117.15,114.8,115.67,3998800
2023-06-01,116.97,117.64,115.0,116.26,3966100
2023-06-02,117.77,118.41,116.02,118.22,3263100
2023-06-05,118.58,119.76,117.09,118.35,2129300
2023-06-06,118.78,119.22,116.64,117.44,1758800
2023-06-07,117.17,117.37,115.14,116.59,3643500
2023-06-08,115.93,116.9,114.66,114.69,2558600
2023-06-09,115.58,116.0,114.16,115.79,1981500
2023-06-12,115.86,118.65,115.82,118.54,2747800
2023-06-13,118.68,121.16,118.68,119.5,2502400
2023-06-14,119.99,120.97,118.9,119.4,2662900
2023-06-15,118.88,121.74,118.73,121.23,1791100
2023-06-16,122.1,123.18,120.63,121.13,3941300
2023-06-20,118.64,118.79,116.88,118.16,2108200
2023-06-21,117.79,119.11,117.27,118.33,1393400
2023-06-22,118.84,118.95,117.17,118.68,1736000
2023-06-23,117.76,119.71,117.58,119.42,2632600
2023-06-26,118.96,119.8,117.34,118.37,1673400
2023-06-27,118.47,118.96,116.73,117.04,2326100
2023-06-28,116.7,117.11,115.71,116.37,2196800
2023-06-29,116.16,118.25,116.07,118.05,1885800
2023-06-30,118.73,120.69,118.3,120.25,2487900
2023-07-03,120.02,120.85,119.22,119.32,996200
2023-07-05,118.95,120.28,118.61,119.5,1246200
2023-07-06,116.36,118.89,115.66,118.43,1626600
2023-07-07,117.67,119.08,116.89,117.0,1493300
2023-07-10,116.73,119.52,116.56,118.36,1889200
2023-07-11,118.3,118.98,117.64,118.48,1096700
2023-07-12,120.0,120.49,119.15,120.0,1595400
2023-07-13,120.76,120.87,118.99,119.35,1229800
2023-07-14,119.54,120.39,118.25,119.75,1225400
2023-07-17,119.95,119.98,117.66,118.25,1123000
2023-07-18,118.38,119.79,118.0,119.56,1362700
2023-07-19,120.01,123.34,119.86,123.08,2425400
2023-07-20,123.51,124.9,123.13,124.55,2278800
2023-07-21,124.55,128.3,123.14,127.62,3918200
2023-07-24,127.62,129.39,127.19,127.72,2001200
2023-07-25,125.0,129.55,124.15,127.31,2199400
2023-07-26,125.0,128.53,123.4,128.47,2507500
2023-07-27,129.87,130.0,126.64,126.66,2582500
2023-07-28,127.25,127.51,123.16,126.05,3138800
2023-07-31,124.38,124.45,121.22,121.77,2376100
2023-08-01,121.78,123.58,120.46,122.48,1655000
2023-08-02,122.0,128.73,121.51,127.71,2654700
2023-08-03,127.3,127.36,124.97,125.05,1742600
2023-08-04,125.44,127.17,125.08,126.3,1819500
2023-08-07,126.73,127.89,125.7,126.51,1487000
2023-08-08,126.69,128.63,125.07,128.35001,2525200
2023-08-09,128.16,129.42,127.53,127.63,1786100
2023-08-10,128.0,129.99001,127.31,127.65,1515900
2023-08-11,126.77,127.82,126.35,126.86,1256700
2023-08-14,125.43,128.0,125.19,126.65,1582400
2023-08-15,126.31,127.18,125.25,125.65,2274800
2023-08-16,121.99,123.65,120.37,121.36,3388800
2023-08-17,122.0,122.65,120.66,120.85,2180800
2023-08-18,120.19,120.73,119.04,119.25,1803900
2023-08-21,119.5,119.57,117.71,118.86,2249300
2023-08-22,117.85,118.61,117.33,117.64,1422300
2023-08-23,118.51,119.15,117.71,119.13,1289300
2023-08-24,119.36,120.78,118.58,119.49,2045900
2023-08-25,119.8,120.82,118.52,119.68,1273300
2023-08-28,119.95,120.94,119.34,119.92,1052400
2023-08-29,120.13,122.29,119.61,122.02,838300
2023-08-30,122.34,122.94,121.63,122.68,1157900
2023-08-31,123.11,123.12,120.65,121.07,2875100
2023-09-01,122.69,123.68,121.54,121.91,840700
2023-09-05,121.64,122.54,118.67,118.73,1270600
2023-09-06,118.35,118.66,116.53,117.94,1668900
2023-09-07,117.97,118.01,116.09,116.26,1317000
2023-09-08,116.01,116.21,113.71,113.99,1789800
2023-09-11,114.29,114.39,112.62,113.1,2046900
2023-09-12,113.4,113.97,112.08,112.78,2035000
2023-09-13,110.0,115.9,109.0,113.43,2520500
2023-09-14,113.79,115.31,111.68,114.88,1815800
2023-09-15,114.43,121.92,113.43,115.91,6882600
2023-09-18,115.0,115.0,112.66,112.69,1818000
2023-09-19,112.37,113.23,111.72,112.31,2222400
2023-09-20,113.08,113.47,112.17,112.47,1744900
2023-09-21,112.03,112.2,109.5,109.73,1327900
2023-09-22,109.73,112.16,109.11,111.41,2050500
2023-09-25,110.76,112.03,110.53,111.94,987400
2023-09-26,110.88,112.25,110.68,110.73,1399800
2023-09-27,110.96,111.25,109.62,110.5,2268300
2023-09-28,110.48,112.68,110.44,112.0,1959900
2023-09-29,113.12,113.17,111.45,111.82,1830100
2023-10-02,110.9,111.8,109.77,110.9,1569000
2023-10-03,110.23,111.76,110.05,110.26,1543400
2023-10-04,110.41,111.89,109.38,111.67,1541700
2023-10-05,112.09,112.24,108.77,110.35,1295700
2023-10-06,109.49,111.77,109.36,110.64,1796100
2023-10-09,109.97,111.31,109.12,111.28,1320300
2023-10-10,111.31,113.83,111.02,113.29,2183000
2023-10-11,113.41,113.6,112.05,113.38,1381500
2023-10-12,113.11,113.4,108.33,108.94,3622500
2023-10-13,108.02,110.61,106.82,110.51,2807600
2023-10-16,111.04,112.79,109.64,111.5,1675500
2023-10-17,110.1,112.91,109.21,112.4,1682800
2023-10-18,111.33,111.33,108.54,108.61,1803500
2023-10-19,109.25,111.38,108.86,109.51,2028900
2023-10-20,109.54,110.59,109.18,109.23,2367300
2023-10-23,108.1,109.91,107.4,109.34,2886000
2023-10-24,107.5,108.06,105.36,105.64,3204200
2023-10-25,102.9,104.17,100.08,103.4,2699600
2023-10-26,103.47,104.91,103.24,104.31,1599100
2023-10-27,104.54,104.78,102.4,102.77,2004000
2023-10-30,102.71,102.78,96.8,101.17,3684900
2023-10-31,103.0,104.2,101.94,103.37,2218800
2023-11-01,102.5,103.21,100.26,102.86,2284600
2023-11-02,103.97,104.64,102.7,104.47,1489000
2023-11-03,106.5,109.59,106.12,109.02,2511300
2023-11-06,108.81,109.52,107.17,107.53,1412000
2023-11-07,106.84,110.81,106.55,110.54,2142300
2023-11-08,110.89,111.57,108.46,109.39,1495000
2023-11-09,110.12,110.12,107.54,107.74,1481100
