date,open,high,low,close,volume
03/01/2023,12.91,13,12.53,12.74,21865100
04/01/2023,12.86,13.61,12.86,13.59,34359100
05/01/2023,13.5,14.01,13.42,13.99,27378000
06/01/2023,14.01,14.25,13.92,14.18,29546400
09/01/2023,14.25,14.79,14.23,14.61,31496900
10/01/2023,14.56,15.2,14.56,15.19,31109900
11/01/2023,15.09,15.5,15.05,15.34,28664300
12/01/2023,16.03,16.9,15.88,16.83,96441800
13/01/2023,16.22,17.07,16.01,17.02,50828000
17/01/2023,16.9,17.12,16.74,17.08,32875700
18/01/2023,17.53,17.64,16.6,16.64,42352600
19/01/2023,16.41,16.49,16.01,16.28,32630200
20/01/2023,16.37,16.54,16.14,16.34,22487700
23/01/2023,16.39,16.44,16.16,16.17,23408500
24/01/2023,16.01,16.43,15.96,16.02,21641500
25/01/2023,15.97,16.48,15.9,16.26,34131000
26/01/2023,16.54,16.74,15.73,16.61,47488900
27/01/2023,16.54,16.81,16.37,16.43,26257000
30/01/2023,16.29,16.6,15.91,15.96,23586000
31/01/2023,16.01,16.24,15.91,16.14,19866900
01/02/2023,16.04,16.72,15.92,16.69,26925300
02/02/2023,16.73,17.32,16.72,17.06,31552200
03/02/2023,16.85,17.22,16.85,17.02,22108200
06/02/2023,16.88,17.09,16.79,16.92,19340800
07/02/2023,16.92,17.03,16.54,16.96,19053400
08/02/2023,17.26,17.44,16.8,16.97,20774200
09/02/2023,17.11,17.16,16.59,16.66,17558700
10/02/2023,16.41,16.43,16.14,16.28,14210100
13/02/2023,16.25,16.6,16.21,16.51,15649900
14/02/2023,16.49,16.85,16.33,16.79,17467900
15/02/2023,16.64,16.84,16.58,16.8,12457100
16/02/2023,16.59,16.67,16.36,16.39,15054700
17/02/2023,16.38,16.56,16.15,16.36,21921300
21/02/2023,16.06,16.2,15.52,15.69,24449000
22/02/2023,15.64,15.82,15.42,15.56,22273800
23/02/2023,15.66,16.17,15.5,15.87,25607100
24/02/2023,15.51,15.67,15.36,15.56,20471800
27/02/2023,15.74,15.83,15.55,15.63,15494300
28/02/2023,15.55,16.05,15.53,15.98,15597800
01/03/2023,15.93,16.05,15.75,16.03,11730500
02/03/2023,15.88,16.15,15.73,16.12,11728300
03/03/2023,16.37,16.55,16.14,16.36,14389500
06/03/2023,16.47,16.55,16.1,16.12,13504800
07/03/2023,16.24,16.66,16.14,16.36,17951300
08/03/2023,16.41,16.6,16.27,16.59,11399600
09/03/2023,16.55,16.8,15.85,15.88,18505000
10/03/2023,15.98,16,15.11,15.46,27280200
13/03/2023,15.02,15.26,14.69,14.85,32541700
14/03/2023,15.05,15.32,14.49,14.66,35258900
15/03/2023,14.24,14.42,13.51,13.86,41843700
16/03/2023,13.7,14.23,13.63,14.12,24557900
17/03/2023,13.95,14.17,13.67,13.98,31268800
20/03/2023,14.02,14.21,13.87,13.96,28076200
21/03/2023,14.29,14.54,14.25,14.37,17788600
22/03/2023,14.36,14.43,13.79,13.82,21378100
23/03/2023,14,14.18,13.47,13.63,25033400
24/03/2023,13.5,13.74,13.36,13.72,19871300
27/03/2023,13.96,14.06,13.71,13.94,17126700
28/03/2023,13.91,14.08,13.85,13.98,11553000
29/03/2023,14.18,14.39,14.06,14.35,15907000
30/03/2023,14.56,14.7,14.46,14.47,13673500
31/03/2023,14.61,14.76,14.56,14.75,12348700
03/04/2023,14.52,14.62,14.28,14.42,14317400
04/04/2023,14.55,14.55,14.02,14.16,16124100
05/04/2023,14.06,14.14,13.7,13.89,19213300
06/04/2023,13.95,14.18,13.87,14.01,14067000
10/04/2023,13.98,14.17,13.91,14.15,18832300
11/04/2023,14.22,14.51,14.08,14.32,17518200
12/04/2023,13.85,13.85,12.91,13,96958800
13/04/2023,13.15,13.18,12.77,12.95,47388900
14/04/2023,12.98,13.06,12.73,12.79,27538600
17/04/2023,12.86,13.17,12.8,13.1,26307900
18/04/2023,13.2,13.3,12.97,13.29,24684700
19/04/2023,13.13,13.68,13.13,13.63,31596500
20/04/2023,13.47,13.7,13.31,13.32,24240100
21/04/2023,13.31,13.42,13.16,13.4,16548000
24/04/2023,13.42,13.56,13.05,13.32,25019800
25/04/2023,13.16,13.17,12.81,12.84,33615600
26/04/2023,12.9,13.08,12.65,12.74,33435200
27/04/2023,12.97,13.4,12.75,12.88,48368000
28/04/2023,12.94,13.7,12.85,13.64,45057400
01/05/2023,13.6,14.03,13.52,13.89,29101800
02/05/2023,13.83,13.87,13.52,13.77,22469800
03/05/2023,13.79,14.04,13.68,13.79,20844800
04/05/2023,13.79,13.89,13.35,13.51,22983700
05/05/2023,13.73,13.95,13.63,13.87,20608900
08/05/2023,14.34,14.66,14.23,14.36,34586900
09/05/2023,14.38,14.56,14.21,14.47,19682700
10/05/2023,14.67,14.7,14.05,14.34,21469100
11/05/2023,14.26,14.29,14.02,14.07,17049600
12/05/2023,14.19,14.2,13.87,14.02,16707500
15/05/2023,14.04,14.32,13.92,14.28,14994100
16/05/2023,14.21,14.45,13.97,14.2,20303200
17/05/2023,14.4,15.01,14.37,14.91,34905500
18/05/2023,14.91,15.08,14.8,15.05,21604500
19/05/2023,15.07,15.09,14.63,14.82,17870900
22/05/2023,14.92,14.98,14.1,14.38,28517200
23/05/2023,14.35,14.64,14.07,14.07,28899400
24/05/2023,13.98,13.98,13.55,13.8,30501800
25/05/2023,13.88,14.39,13.8,14.38,29719900
26/05/2023,14.41,14.54,14.28,14.35,17083800
30/05/2023,14.44,14.75,14.42,14.62,20424600
31/05/2023,15.09,15.11,14.49,14.78,31783200
01/06/2023,14.87,14.88,14.61,14.7,21239100
02/06/2023,14.9,15.07,14.64,14.87,31041300
05/06/2023,14.87,14.91,14.68,14.81,15399300
06/06/2023,14.81,15.02,14.7,14.93,15840000
07/06/2023,15,15.27,14.9,15.16,19871400
08/06/2023,15.16,15.6,15.09,15.3,21698100
09/06/2023,15.31,15.67,15.31,15.57,21126900
12/06/2023,15.74,16.37,15.73,16.02,28381900
13/06/2023,16.25,16.35,16.1,16.31,21911600
14/06/2023,16.4,16.7,16.32,16.59,22866000
15/06/2023,16.45,16.65,16.4,16.65,17235100
16/06/2023,16.67,16.72,16.43,16.48,22635600
20/06/2023,16.38,16.43,16.16,16.32,17926100
21/06/2023,16.25,16.35,16,16.3,18543400
22/06/2023,16.23,16.39,16.07,16.36,12694200
23/06/2023,15.94,16.33,15.92,16.26,24406900
26/06/2023,16.15,16.49,16.11,16.44,19715400
27/06/2023,16.53,17.48,16.52,17.35,42031500
28/06/2023,17.35,17.58,17.28,17.55,26466300
29/06/2023,17.64,17.98,17.53,17.6,20315700
30/06/2023,17.72,17.99,17.67,17.94,18597900
03/07/2023,17.86,18.18,17.82,18.1,12883700
05/07/2023,17.98,18.42,17.89,18.32,19351500
06/07/2023,18.02,18.14,17.67,17.88,25768000
07/07/2023,17.93,18.55,17.93,18.35,21936300
10/07/2023,18.32,18.72,18.29,18.57,21371900
11/07/2023,18.64,18.87,18.44,18.8,23613200
12/07/2023,18.93,19.07,18.49,18.57,23388600
13/07/2023,19.05,19.08,18.24,18.45,30683600
14/07/2023,18.44,18.56,17.96,18.14,23241100
17/07/2023,18.04,18.38,18,18.18,14825400
18/07/2023,18.2,18.72,18.2,18.68,16839500
19/07/2023,18.7,18.8,18.44,18.6,20416100
20/07/2023,18.15,18.17,17.28,17.44,54010900
21/07/2023,17.5,17.67,17.1,17.42,28594500
24/07/2023,17.29,17.32,16.86,16.88,28457900
25/07/2023,16.55,16.83,16.19,16.65,40053800
26/07/2023,16.72,16.9,16.51,16.76,21833000
27/07/2023,16.55,16.69,16.34,16.57,24395800
28/07/2023,16.79,16.86,16.59,16.79,18588400
31/07/2023,16.85,16.87,16.59,16.75,21646200
01/08/2023,16.54,16.54,15.94,16.23,31342400
02/08/2023,16.01,16.11,15.78,15.95,29884600
03/08/2023,15.77,16.02,15.7,15.98,40463900
04/08/2023,16.1,16.18,15.78,15.84,23503400
07/08/2023,15.73,16.01,15.69,15.99,22485700
08/08/2023,15.8,16.22,15.77,16.18,25107600
09/08/2023,16.19,16.24,15.72,15.76,18744600
10/08/2023,15.93,16.02,15.65,15.76,19104200
11/08/2023,15.66,15.75,15.56,15.65,16049800
14/08/2023,15.57,15.88,15.46,15.88,23646600
15/08/2023,15.71,15.78,15.51,15.55,20041500
16/08/2023,15.58,15.84,15.39,15.44,20012000
17/08/2023,15.44,15.46,15.01,15.05,22240800
18/08/2023,14.83,15.15,14.8,15.04,20774600
21/08/2023,15.06,15.2,14.95,15.16,23656300
22/08/2023,15.3,15.33,14.82,14.83,25084500
23/08/2023,14.78,14.92,14.57,14.78,18599700
24/08/2023,14.66,14.76,14.46,14.57,23360500
25/08/2023,14.65,14.71,14.42,14.58,15560800
28/08/2023,14.66,14.83,14.57,14.73,19455200
29/08/2023,14.74,14.99,14.69,14.9,22186400
30/08/2023,14.93,14.95,14.76,14.77,19981100
31/08/2023,14.89,14.92,14.68,14.73,13994500
01/09/2023,14.8,14.84,14.59,14.68,14713500
05/09/2023,14.53,14.53,14.12,14.3,25690400
06/09/2023,14.27,14.75,14.24,14.33,25490000
07/09/2023,14.25,14.26,13.92,14,24678300
08/09/2023,14,14.13,13.91,13.98,17141500
11/09/2023,14.02,14.19,13.94,14.09,20957900
12/09/2023,14.19,14.29,14.08,14.11,20755000
13/09/2023,13.5,13.73,13.2,13.31,58836000
14/09/2023,13.44,13.47,13.15,13.26,31461300
15/09/2023,13.22,13.45,13.21,13.31,24956700
18/09/2023,13.24,13.27,13.08,13.11,21613900
19/09/2023,13.08,13.35,13.05,13.19,25325000
20/09/2023,13.32,13.47,13.05,13.06,27822800
21/09/2023,12.95,13.27,12.93,13.06,24911700
22/09/2023,13.09,13.16,12.86,12.9,24670900
25/09/2023,12.81,12.98,12.71,12.91,24618800
26/09/2023,12.83,13.04,12.69,12.7,25467700
27/09/2023,12.74,12.83,12.5,12.61,29983300
28/09/2023,12.6,13.09,12.56,12.92,35234200
29/09/2023,13.02,13.07,12.65,12.81,33956200
02/10/2023,12.84,13.1,12.68,12.75,38342700
03/10/2023,12.65,12.71,12.25,12.29,40692300
04/10/2023,12.4,12.82,12.34,12.73,49738100
05/10/2023,12.91,13.01,12.72,12.85,36272900
06/10/2023,12.8,13,12.67,12.76,31822200
09/10/2023,12.37,12.37,11.94,12.24,51462700
10/10/2023,12.4,12.65,12.24,12.26,37144200
11/10/2023,12.32,12.68,12.28,12.48,35569100
12/10/2023,12.6,12.62,11.93,12.06,50281200
13/10/2023,11.87,12.04,11.68,11.72,48056300
16/10/2023,11.82,12.05,11.72,11.94,35242600
17/10/2023,11.88,12.1,11.88,11.94,35207300
18/10/2023,11.74,11.74,11.22,11.36,67141500
19/10/2023,11.35,12.01,11.35,11.45,63900500
20/10/2023,11.4,11.43,11.04,11.08,49956600
23/10/2023,11.02,11.41,10.94,11.29,45680300
24/10/2023,11.36,11.43,11.09,11.21,39302800
25/10/2023,11.12,11.24,11.04,11.04,40461800
26/10/2023,11.05,11.25,10.97,11.15,40009500
27/10/2023,11.18,11.23,10.88,10.92,39890700
30/10/2023,11.01,11.24,11,11.18,38208500
31/10/2023,11.11,11.16,10.86,11.15,42086200
01/11/2023,11.11,11.22,10.98,11.14,30449500
02/11/2023,11.35,11.47,11.28,11.4,29763600
03/11/2023,11.63,12.08,11.62,11.98,52897300
06/11/2023,12.06,12.1,11.54,11.66,33159500
07/11/2023,11.72,11.84,11.61,11.75,27819600
08/11/2023,11.86,12.27,11.85,12.01,40867800
09/11/2023,12.16,12.24,11.67,11.75,37774500
10/11/2023,11.67,11.85,11.51,11.8,31056200
13/11/2023,11.7,11.89,11.62,11.78,20147700
14/11/2023,12.15,12.3,12.04,12.25,35529800
15/11/2023,12.35,12.72,12.35,12.42,37557800
16/11/2023,12.42,12.6,12.16,12.19,34506600
17/11/2023,12.27,12.31,12.14,12.29,25699200
20/11/2023,12.23,12.45,12.17,12.4,23878800
21/11/2023,12.3,12.33,12.05,12.13,24497700
22/11/2023,12.37,12.77,12.17,12.31,40937600
24/11/2023,12.39,12.48,12.25,12.31,14803800
27/11/2023,12.25,12.31,12.08,12.18,27427600
28/11/2023,12.19,12.26,11.95,12.17,33964600
29/11/2023,12.27,12.56,12.23,12.23,31763200
30/11/2023,12.33,12.47,12.08,12.43,34595600
01/12/2023,12.46,13.06,12.44,13.02,48841500
04/12/2023,13.03,13.49,12.93,13.35,50756400
05/12/2023,13.22,13.29,13.01,13.13,40142400
06/12/2023,13.36,13.74,13.34,13.48,51354300
07/12/2023,13.69,14.15,13.68,13.91,49511700
08/12/2023,13.87,13.98,13.71,13.76,30175300
11/12/2023,13.76,13.79,13.61,13.72,28383700
12/12/2023,13.81,14.18,13.8,14.04,34298800
13/12/2023,13.88,14.15,13.64,14.09,39046300
14/12/2023,14.3,14.65,14.27,14.59,42803900
15/12/2023,14.63,14.67,14.41,14.49,34725700
18/12/2023,14.43,14.43,14.06,14.24,28471700
19/12/2023,14.38,14.45,14.28,14.3,22574300
20/12/2023,14.2,14.39,13.95,13.98,26557500
21/12/2023,14.21,14.43,14.2,14.35,30372600
22/12/2023,14.38,14.4,14.21,14.31,25169900
