date,open,high,low,close,volume
16/09/2024,9.98,9.98,9.96,9.98,929200
17/09/2024,9.98,9.99,9.98,9.98,1564000
18/09/2024,9.99,9.99,9.982,9.982,4500
19/09/2024,9.99,9.99,9.98,9.98,319200
20/09/2024,9.99,10,9.98,9.99,212700
23/09/2024,9.99,10,9.99,9.99,159700
24/09/2024,10.01,10.01,9.99,10.005,15400
25/09/2024,10.01,10.01,9.99,9.995,250600
26/09/2024,10.01,10.01,10,10.01,1623800
27/09/2024,10.03,10.03,10.01,10.01,537100
30/09/2024,10.02,10.02,10.01,10.02,191700
01/10/2024,10.02,10.02,10.01,10.01,118300
02/10/2024,10.02,10.03,10.01,10.01,1112100
03/10/2024,10.02,10.02,10.01,10.015,396300
04/10/2024,10.02,10.02,10.015,10.015,51200
07/10/2024,10.04,10.04,10.015,10.02,19500
08/10/2024,10.01,10.02,10.01,10.02,5500
09/10/2024,10.01,10.02,10.01,10.01,458700
10/10/2024,10.02,10.02,10.02,10.02,92000
11/10/2024,10.01,10.02,10.01,10.02,24300
14/10/2024,10.03,10.03,10.02,10.02,5100
15/10/2024,10.02,10.02,10.018,10.018,500
16/10/2024,10.02,10.03,10.02,10.02,1303400
17/10/2024,10.02,10.03,10.02,10.02,1555600
18/10/2024,10.02,10.03,10.02,10.02,558200
21/10/2024,10.02,10.026,10.02,10.02,103800
22/10/2024,10.023,10.03,10.023,10.03,5400
23/10/2024,10.03,10.03,10.025,10.03,1417100
24/10/2024,10.03,10.03,10.03,10.03,0
25/10/2024,10.04,10.04,10.03,10.04,52500
28/10/2024,10.04,10.045,10.03,10.045,116900
29/10/2024,10.04,10.04,10.04,10.04,294000
30/10/2024,10.04,10.04,10.02,10.02,24200
31/10/2024,10.03,10.05,10.03,10.04,116800
01/11/2024,10.04,10.05,10.03,10.05,65400
04/11/2024,10.05,10.05,10.05,10.05,2800
05/11/2024,10.05,10.055,10.04,10.05,240300
06/11/2024,10.05,10.06,10.045,10.06,73600
07/11/2024,10.06,10.06,10.04,10.06,109900
08/11/2024,10.06,10.06,10.05,10.06,214400
11/11/2024,10.06,10.06,10.05,10.05,52300
12/11/2024,10.06,10.06,10.06,10.06,52100
13/11/2024,10.06,10.06,10.05,10.05,8100
14/11/2024,10.05,10.06,10.05,10.06,106200
15/11/2024,10.05,10.06,10.05,10.05,3100
18/11/2024,10.05,10.06,10.04,10.05,289000
19/11/2024,10.06,10.06,10.05,10.05,93600
20/11/2024,10.05,10.06,10.05,10.051,1100
21/11/2024,10.05,10.06,10.05,10.05,4500
22/11/2024,10.06,10.06,10.05,10.06,8600
25/11/2024,10.05,10.06,10.05,10.05,57800
26/11/2024,10.06,10.06,10.05,10.05,851900
27/11/2024,10.06,10.06,10.04,10.045,4034500
29/11/2024,10.05,10.06,10.04,10.05,28700
02/12/2024,10.06,10.06,10.04,10.06,2856800
03/12/2024,10.05,10.08,10.05,10.07,78400
04/12/2024,10.05,10.06,10.05,10.06,400
05/12/2024,10.07,10.08,10.055,10.07,5800
06/12/2024,10.08,10.08,10.07,10.07,5500
09/12/2024,10.08,10.08,10.07,10.075,5800
10/12/2024,10.08,10.08,10.07,10.07,91400
11/12/2024,10.07,10.08,10.07,10.07,20600
12/12/2024,10.07,10.075,10.07,10.07,398800
13/12/2024,10.08,10.08,10.07,10.08,113600
16/12/2024,10.09,10.09,10.07,10.07,8800
17/12/2024,10.18,10.18,10.07,10.085,10100
18/12/2024,10.08,10.09,10.08,10.08,43100
19/12/2024,10.084,10.084,10.08,10.08,50300
20/12/2024,10.08,10.082,10.08,10.082,6700
23/12/2024,10.07,10.1,10.07,10.091,5400
24/12/2024,10.1,10.1,10.1,10.1,1900
26/12/2024,10.089,10.089,10.08,10.08,129300
27/12/2024,10.1,10.1,10.09,10.09,108600
30/12/2024,10.1,10.11,10.1,10.11,64200
31/12/2024,10.1,10.11,10.1,10.1,11500
02/01/2025,10.08,10.12,10.08,10.11,147100
03/01/2025,10.11,10.11,10.11,10.11,0
06/01/2025,10.11,10.12,10.105,10.108,8700
07/01/2025,10.16,10.16,10.11,10.11,250500
08/01/2025,10.11,10.12,10.11,10.12,1000
10/01/2025,10.11,10.11,10.11,10.11,600
13/01/2025,10.13,10.13,10.12,10.12,400
14/01/2025,10.13,10.13,10.12,10.12,1600
15/01/2025,10.13,10.13,10.12,10.12,500
16/01/2025,10.18,10.18,10.12,10.12,11200
17/01/2025,10.12,10.125,10.12,10.12,66000
21/01/2025,10.17,10.17,10.12,10.124,4200
22/01/2025,10.17,10.17,10.12,10.14,9200
23/01/2025,10.12,10.17,10.12,10.136,3000
24/01/2025,10.132,10.138,10.13,10.13,8100
27/01/2025,10.15,10.19,10.13,10.154,144900
28/01/2025,10.15,10.15,10.14,10.14,68400
29/01/2025,10.157,10.16,10.14,10.14,64800
30/01/2025,10.147,10.147,10.14,10.14,20200
31/01/2025,10.15,10.19,10.14,10.16,10300
03/02/2025,10.162,10.175,10.15,10.15,5800
04/02/2025,10.148,10.15,10.148,10.15,900
05/02/2025,10.15,10.165,10.14,10.16,130800
06/02/2025,10.15,10.15,10.15,10.15,700
07/02/2025,10.15,10.18,10.15,10.18,1200
10/02/2025,10.18,10.18,10.15,10.16,25200
11/02/2025,10.15,10.175,10.15,10.175,443600
12/02/2025,10.17,10.175,10.16,10.17,58100
13/02/2025,10.17,10.17,10.16,10.17,68000
14/02/2025,10.18,10.18,10.16,10.16,2000
18/02/2025,10.163,10.18,10.16,10.17,1500
19/02/2025,10.18,10.18,10.17,10.17,9100
20/02/2025,10.18,10.18,10.17,10.17,51700
21/02/2025,10.16,10.18,10.16,10.17,1900
24/02/2025,10.18,10.19,10.18,10.185,507500
25/02/2025,10.19,10.19,10.19,10.19,104200
26/02/2025,10.19,10.19,10.18,10.19,82100
27/02/2025,10.19,10.195,10.19,10.195,104000
28/02/2025,10.18,10.22,10.18,10.21,3500
03/03/2025,10.215,10.215,10.215,10.215,500
04/03/2025,10.18,10.24,10.18,10.21,28600
05/03/2025,10.238,10.238,10.215,10.215,3200
06/03/2025,10.224,10.24,10.21,10.225,2200
07/03/2025,10.24,10.24,10.21,10.22,48200
10/03/2025,10.234,10.25,10.21,10.215,10000
11/03/2025,10.21,10.215,10.21,10.215,7800
12/03/2025,10.19,10.25,10.19,10.23,9900
13/03/2025,10.21,10.23,10.21,10.22,4800
14/03/2025,10.22,10.23,10.22,10.23,8500
17/03/2025,10.22,10.246,10.22,10.24,1800
18/03/2025,10.21,10.24,10.21,10.24,5200
19/03/2025,10.25,10.25,10.25,10.25,19700
20/03/2025,10.24,10.25,10.24,10.25,93000
21/03/2025,10.245,10.245,10.24,10.24,7800
24/03/2025,10.25,10.26,10.25,10.26,4500
25/03/2025,10.258,10.26,10.245,10.26,2000
26/03/2025,10.25,10.28,10.25,10.28,21500
27/03/2025,10.24,10.28,10.24,10.27,1200
28/03/2025,10.24,10.28,10.24,10.28,301800
31/03/2025,10.3,10.43,10.25,10.43,280900
01/04/2025,10.36,10.36,10.26,10.27,23800
02/04/2025,10.26,10.26,10.26,10.26,900
03/04/2025,10.26,10.275,10.26,10.27,6300
04/04/2025,10.26,10.3,10.26,10.3,18900
07/04/2025,10.25,10.275,10.25,10.27,201100
08/04/2025,10.26,10.265,10.26,10.265,1800
09/04/2025,10.255,10.3,10.25,10.26,568400
10/04/2025,10.25,10.28,10.25,10.26,139700
11/04/2025,10.26,10.285,10.26,10.28,270500
14/04/2025,10.25,10.31,10.25,10.3,1300
15/04/2025,10.27,10.27,10.27,10.27,400
16/04/2025,10.284,10.284,10.26,10.275,17700
17/04/2025,10.28,10.305,10.27,10.27,1100
21/04/2025,10.35,10.35,10.27,10.27,700
22/04/2025,10.27,10.27,10.27,10.27,0
23/04/2025,10.27,10.27,10.27,10.27,0
24/04/2025,10.295,10.295,10.295,10.295,200
25/04/2025,10.295,10.33,10.295,10.3,969900
28/04/2025,10.29,10.34,10.29,10.3,753200
29/04/2025,10.38,10.39,10.3,10.31,43800
30/04/2025,10.29,10.39,10.29,10.31,6600
01/05/2025,10.32,10.32,10.32,10.32,200
02/05/2025,10.32,10.32,10.303,10.31,6900
05/05/2025,10.31,10.31,10.31,10.31,42800
06/05/2025,10.33,10.33,10.315,10.315,400
07/05/2025,10.32,10.32,10.315,10.315,2800
08/05/2025,10.32,10.32,10.32,10.32,800
09/05/2025,10.32,10.32,10.32,10.32,0
12/05/2025,10.33,10.33,10.33,10.33,2800
13/05/2025,10.34,10.34,10.34,10.34,4600
14/05/2025,10.32,10.35,10.32,10.35,8200
15/05/2025,10.36,10.36,10.36,10.36,500
16/05/2025,10.35,10.355,10.32,10.32,217300
19/05/2025,10.36,10.36,10.35,10.35,10700
20/05/2025,10.35,10.35,10.35,10.35,31700
21/05/2025,10.36,10.36,10.36,10.36,10800
22/05/2025,10.36,10.36,10.36,10.36,1200
23/05/2025,10.35,10.35,10.35,10.35,100100
27/05/2025,10.33,10.363,10.33,10.35,2100
28/05/2025,10.42,10.42,10.42,10.42,100
29/05/2025,10.361,10.4,10.361,10.4,251000
30/05/2025,10.32,10.38,10.32,10.37,92600
02/06/2025,10.32,10.79,10.32,10.39,3400
03/06/2025,10.4,10.4,10.365,10.38,11100
04/06/2025,10.38,10.38,10.38,10.38,0
05/06/2025,10.39,10.39,10.39,10.39,28800
06/06/2025,10.39,10.4,10.39,10.4,20700
09/06/2025,10.41,10.41,10.41,10.41,300
10/06/2025,10.45,10.45,10.405,10.405,600
11/06/2025,10.43,10.43,10.4,10.4,700
12/06/2025,10.38,10.399,10.38,10.399,1100
13/06/2025,10.398,10.398,10.398,10.398,1000
16/06/2025,10.42,10.42,10.4,10.41,126200
