date,open,high,low,close,volume
2023-01-03,20.75,21.23,20.47,20.49,425500
2023-01-04,20.72,20.76,19.98,20.06,400200
2023-01-05,19.99,20.225,19.69,20.17,106000
2023-01-06,20.4,21.0,20.28,20.95,232400
2023-01-09,20.88,21.03,20.71,20.9,111200
2023-01-10,20.69,21.1,20.62,21.09,220400
2023-01-11,21.19,21.47,20.975,21.2,710200
2023-01-12,21.34,21.771,20.955,21.15,226300
2023-01-13,20.97,21.54,20.664,21.43,98900
2023-01-17,21.52,21.89,21.32,21.73,162800
2023-01-18,21.75,21.98,21.59,21.69,91800
2023-01-19,21.64,22.175,21.42,22.03,154900
2023-01-20,22.2,22.91,21.9,22.83,189600
2023-01-23,22.82,23.09,22.67,23.09,111600
2023-01-24,23.06,23.06,22.48,22.5,92600
2023-01-25,22.24,22.48,22.13,22.34,84500
2023-01-26,22.43,22.65,22.3,22.65,99900
2023-01-27,22.48,22.86,22.46,22.76,84000
2023-01-30,22.6,22.9,22.32,22.72,123600
2023-01-31,22.87,23.5,22.67,23.45,264000
2023-02-01,23.41,23.93,23.31,23.8,284400
2023-02-02,24.81,25.565,24.415,25.07,343700
2023-02-03,24.87,26.01,24.87,25.77,290700
2023-02-06,25.82,25.975,25.41,25.51,171500
2023-02-07,25.27,26.0,24.985,25.93,207400
2023-02-08,25.66,26.21,25.655,25.81,144000
2023-02-09,25.96,26.07,25.43,25.47,219600
2023-02-10,25.38,26.2,25.22,26.18,148900
2023-02-13,26.17,26.54,25.98,26.5,82300
2023-02-14,26.38,26.88,25.67,25.87,300900
2023-02-15,25.6,26.49,25.6,26.48,110200
2023-02-16,25.69,26.32,25.69,26.02,87900
2023-02-17,26.08,26.2,25.48,25.9,110500
2023-02-21,25.52,25.84,25.42,25.63,135100
2023-02-22,25.63,25.94,25.0,25.14,171400
2023-02-23,25.33,25.42,24.94,25.14,76100
2023-02-24,24.74,24.88,24.26,24.82,103600
2023-02-27,25.05,25.15,24.67,24.82,52800
2023-02-28,24.73,25.18,24.45,25.07,209900
2023-03-01,25.0,25.5,24.81,25.18,175000
2023-03-02,24.91,25.03,24.52,24.97,116600
2023-03-03,25.21,25.52,25.03,25.46,124900
2023-03-06,25.41,25.65,24.72,24.85,156800
2023-03-07,24.93,24.98,24.48,24.74,115800
2023-03-08,24.73,24.87,24.52,24.84,68300
2023-03-09,24.86,24.89,24.08,24.21,122000
2023-03-10,24.02,24.27,22.93,23.06,125100
2023-03-13,22.55,22.63,21.69,22.32,163000
2023-03-14,23.17,23.49,22.77,22.95,134700
2023-03-15,22.34,22.82,22.045,22.54,187600
2023-03-16,22.19,23.12,22.12,22.75,137000
2023-03-17,22.47,22.49,21.68,21.73,718300
2023-03-20,22.1,22.79,22.1,22.5,201000
2023-03-21,23.06,23.36,22.84,23.31,144600
2023-03-22,23.36,23.425,22.64,22.64,82700
2023-03-23,22.82,23.04,22.41,22.59,80800
2023-03-24,22.3,22.755,22.275,22.59,119800
2023-03-27,22.95,23.08,22.76,22.83,95700
2023-03-28,22.69,22.95,22.69,22.85,82200
2023-03-29,23.11,23.44,22.7,23.0,117100
2023-03-30,23.14,23.35,23.03,23.31,120200
2023-03-31,23.44,23.66,23.28,23.58,230800
2023-04-03,23.6,23.77,22.65,23.05,151400
2023-04-04,23.21,23.21,22.29,22.38,85100
2023-04-05,22.14,22.27,21.89,21.99,137800
2023-04-06,22.01,22.54,21.85,22.36,112400
2023-04-10,22.23,22.93,22.23,22.79,124200
2023-04-11,22.87,23.28,22.57,23.11,85700
2023-04-12,23.25,23.51,23.12,23.28,89400
2023-04-13,23.32,23.58,23.12,23.25,103100
2023-04-14,23.41,23.63,23.22,23.41,90500
2023-04-17,23.64,23.73,23.34,23.68,57700
2023-04-18,23.72,23.95,23.59,23.92,68000
2023-04-19,24.0,24.0,23.6,23.7,74500
2023-04-20,23.6,23.8,23.46,23.76,82300
2023-04-21,23.75,23.75,23.29,23.56,85100
2023-04-24,23.56,23.63,23.13,23.33,72600
2023-04-25,23.09,23.2,22.38,22.4,67100
2023-04-26,22.17,22.55,21.97,22.08,65100
2023-04-27,22.14,22.61,22.14,22.34,59400
2023-04-28,22.27,23.36,22.27,22.58,208100
2023-05-01,22.58,22.98,22.15,22.21,132200
2023-05-02,22.05,22.71,21.52,21.99,161400
2023-05-03,22.18,22.52,21.98,22.37,211700
2023-05-04,22.09,22.509,21.015,22.11,199200
2023-05-05,22.61,22.685,21.84,22.59,108500
2023-05-08,22.7,22.86,22.13,22.41,90800
2023-05-09,22.21,22.35,21.96,22.16,78400
2023-05-10,22.46,22.48,21.615,22.02,163800
2023-05-11,21.73,21.955,21.66,21.67,75500
2023-05-12,21.81,22.23,21.43,21.65,102500
2023-05-15,21.79,21.96,21.56,21.6,54400
2023-05-16,21.56,21.74,21.46,21.65,91100
2023-05-17,21.79,21.95,21.47,21.94,129200
2023-05-18,21.89,22.6,21.86,22.52,115800
2023-05-19,22.83,22.83,22.33,22.68,76700
2023-05-22,22.84,23.155,22.505,23.0,91900
