total_trades,closed_trades,incomplete_trades,winning_trades,losing_trades,win_rate_pct,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_win_r,avg_loss_r,expectancy_r,profit_factor,gross_wins_usd,gross_losses_usd,net_pnl_usd,net_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,calmar_ratio,avg_hold_days,max_hold_days,min_hold_days,stage6_entries,stage7_entries,account_equity,ticker
23,23,0,9,14,39.13,4.4317,-4.4612,14.5778,-7.2029,0.8403,-0.8301,-0.1764,0.6367,709.78,1114.75,-404.97,-4.0497,-5.1201,-2.9623,-9.4901,-0.7909,10.3,32,2,0,23,10000,A
19,19,0,7,12,36.84,12.8257,-7.8969,41.641,-13.4106,1.4413,-0.9005,-0.0377,0.9515,1003.47,1054.67,-51.2,-0.512,-5.7298,-0.3123,-1.6311,-0.0894,13.5,46,1,2,17,10000,AA
19,19,0,7,12,36.84,11.5644,-6.029,23.0989,-12.3195,1.7127,-0.7816,0.1374,1.2295,1125.3,915.24,210.06,2.1006,-4.5451,0.7197,2.3128,0.4622,15.1,45,3,2,17,10000,AAL
21,20,1,5,16,23.81,14.8068,-4.4043,27.5056,-8.6308,2.7371,-0.6961,0.1213,1.0401,1161.9,1117.1,44.8,0.448,-5.2056,0.2815,1.0291,0.0861,13,49,2,0,21,10000,AAMI
20,19,1,11,9,55,26.5454,-9.4268,62.5,-15.738,1.7639,-0.6468,0.6791,3.4453,1943.26,564.04,1379.22,13.7922,-1.9202,6.9902,28.4567,7.1826,17.1,101,1,1,19,10000,AAOI
29,29,0,9,20,31.03,11.8556,-5.7919,28.3144,-25.7143,1.5797,-0.9111,-0.1381,0.8379,1433.27,1710.48,-277.21,-2.7721,-7.9068,-0.4944,-0.9831,-0.3506,9.1,45,1,1,28,10000,AAON
12,11,1,4,8,33.33,20.9625,-7.0614,42.9405,-9.7841,2.3693,-1.0798,0.0699,1.128,946.74,839.33,107.41,1.0741,-5.4761,2.176,22.7104,0.1961,14.6,76,2,0,12,10000,AAP
24,24,0,14,10,58.33,4.3901,-2.2135,11.5503,-7.2473,1.0631,-0.5206,0.4032,2.8892,1400.81,484.85,915.96,9.1596,-1.8197,6.0388,12.9559,5.0337,12,35,1,0,24,10000,AAPL
17,16,1,2,15,11.76,9.8839,-3.1186,15.9344,-7.6562,1.9728,-0.6237,-0.3182,0.4319,392.75,909.36,-516.61,-5.1661,-5.1661,-4.6784,-9.7597,-1,12,37,1,0,17,10000,AB
12,12,0,5,7,41.67,36.1799,-14.6753,74.2287,-18.9749,2.3868,-0.9283,0.453,1.6226,1083.45,667.71,415.74,4.1574,-2.7393,3.2825,25.8164,1.5177,10.7,38,2,1,11,10000,ABAT
