ticker,sector,spider_id,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
SSII,Healthcare,SECTOR_HEALTHCARE,11,3,8,27.27,594.1992,617.1855,543228.09,5432.2809,544143.85,915.76,11671.4411,-19.3412,34864.2857,-55.5556,25.8,1,10
ASST,Financials,SECTOR_FINANCIALS,5,1,4,20.0,18.1816,10.7383,4214.81,42.1481,4460.12,245.31,1073.486,-20.4437,1073.486,-29.066,5.4,0,5
WOLF,Technology,SECTOR_TECHNOLOGY,8,2,6,25.0,13.2271,9.6084,7698.16,76.9816,8327.76,629.6,844.1559,-14.162,1637.9518,-17.6312,21.9,3,5
VIA,Technology,SECTOR_TECHNOLOGY,6,1,5,16.67,8.6279,5.1968,3109.96,31.0996,3517.67,407.71,460.4085,-7.1402,460.4085,-13.3684,41.5,1,5
NIQ,Financials,SECTOR_FINANCIALS,7,3,4,42.86,13.6069,3.9521,2222.34,22.2234,2398.62,176.28,11.8787,-2.0514,31.5462,-5.0971,18.0,0,7
BETR,Financials,SECTOR_FINANCIALS,5,1,4,20.0,5.2083,2.8613,1434.4,14.344,1775.25,340.85,228.8283,-13.6747,228.8283,-15.8599,17.4,0,5
RGTI,Technology,SECTOR_TECHNOLOGY,13,6,7,46.15,7.517,2.5217,3330.37,33.3037,3841.4,511.03,120.7724,-12.7773,314.916,-21.1679,13.5,1,12
VITL,Consumer Staples,SECTOR_CONSUMER_STAPLES,15,9,6,60.0,13.3234,2.3052,3454.87,34.5487,3735.22,280.35,27.1593,-3.9798,157.1252,-8.6664,15.7,0,15
INDV,Healthcare,SECTOR_HEALTHCARE,7,5,2,71.43,11.7881,2.2172,1540.22,15.4022,1682.99,142.77,27.9126,-6.1961,68.0082,-9.4879,32.1,0,7
EXAS,Healthcare,SECTOR_HEALTHCARE,11,7,4,63.64,9.8436,2.1369,2326.14,23.2614,2589.17,263.03,28.7778,-6.7089,76.2931,-11.455,24.2,1,10
ROOT,Financials,SECTOR_FINANCIALS,15,6,9,40.0,5.659,2.107,3450.44,34.5044,4191.03,740.59,91.6191,-12.756,383.871,-18.9166,15.5,2,13
AVBH,Financials,SECTOR_FINANCIALS,11,7,4,63.64,7.4939,2.0435,2041.67,20.4167,2356.07,314.4,10.3792,-1.2202,38.9032,-2.0265,21.9,0,11
MLYS,Healthcare,SECTOR_HEALTHCARE,6,2,4,33.33,5.29,1.9615,1160.06,11.6006,1430.47,270.41,76.0496,-9.6578,151.6469,-17.7124,8.8,0,6
ORKA,Healthcare,SECTOR_HEALTHCARE,9,4,5,44.44,4.4081,1.8844,1702.71,17.0271,2202.32,499.61,57.3875,-11.799,132.6364,-20.5379,32.9,1,8
CAPR,Healthcare,SECTOR_HEALTHCARE,14,6,8,42.86,5.0955,1.8663,2189.6,21.896,2724.24,534.64,60.8463,-9.4563,286.5385,-16.2592,14.1,0,14
LMT,Industrials,SECTOR_INDUSTRIALS,10,5,5,50.0,9.6258,1.8399,1694.88,16.9488,1891.37,196.49,13.158,-1.7264,30.7131,-4.4985,17.4,0,10
ALT,Healthcare,SECTOR_HEALTHCARE,13,7,6,53.85,3.785,1.7455,2117.31,21.1731,2877.57,760.26,59.1184,-17.9817,249.6689,-43.2381,14.6,1,12
PRM,Materials,SECTOR_MATERIALS,10,5,5,50.0,9.6827,1.6319,1628.88,16.2888,1816.48,187.6,30.7006,-3.0954,59.6759,-5.748,26.9,0,10
ATXS,Healthcare,SECTOR_HEALTHCARE,15,7,8,46.67,4.9511,1.6293,2368.5,23.685,2967.95,599.45,53.7542,-9.5578,159.1912,-19.3944,20.1,2,13
BW,Industrials,SECTOR_INDUSTRIALS,10,6,4,60.0,6.1488,1.6272,1610.9,16.109,1923.77,312.87,62.0049,-9.54,231.8113,-17.4141,25.7,0,10
FLNC,Utilities,SECTOR_UTILITIES,9,6,3,66.67,5.6095,1.5798,1386.45,13.8645,1687.23,300.78,43.8827,-12.2568,194.7989,-12.8276,20.9,1,8
PLSE,Healthcare,SECTOR_HEALTHCARE,14,5,9,35.71,4.9948,1.4983,2135.49,21.3549,2670.06,534.57,102.2359,-7.4626,332.5714,-13.9849,20.6,0,14
NUTX,Healthcare,SECTOR_HEALTHCARE,12,4,8,33.33,4.3904,1.4965,1767.39,17.6739,2288.68,521.29,93.8719,-11.585,242.612,-18.8931,17.1,1,11
MNPR,Healthcare,SECTOR_HEALTHCARE,13,9,4,69.23,9.3864,1.4891,1840.9,18.409,2060.41,219.51,38.961,-8.3487,104.0243,-12.7988,12.1,0,13
WLFC,Industrials,SECTOR_INDUSTRIALS,19,8,11,42.11,5.2304,1.4356,2548.6,25.486,3151.05,602.45,26.9064,-3.6329,54.5889,-8.9807,16.1,1,18
VKTX,Healthcare,SECTOR_HEALTHCARE,17,8,9,47.06,4.6116,1.4326,2424.67,24.2467,3096.02,671.35,52.0091,-10.2499,222.7848,-16.4158,21.1,0,17
