ticker,sector,entry_date,exit_date,exit_reason,hold_days,pnl_dollar,pnl_pct,pnl_r,signal_type,virtual_account,final_value
AAL,Industrials,30/03/2022,27/04/2022,stage9_exit,19,41.8,4.2411,0.4205,stage7_entry,10000,10041.8
AAL,Industrials,20/10/2022,19/12/2022,stop_hit,41,-99.28,-9.8844,-1,stage7_entry,10000,9900.72
AAL,Industrials,11/01/2023,31/01/2023,stage9_exit,13,84.64,6.0968,0.8547,stage7_entry,10000,10084.64
AAL,Industrials,18/05/2023,24/05/2023,stop_hit,4,-99.7,-6.7545,-1,stage7_entry,10000,9900.3
AAL,Industrials,08/06/2023,17/07/2023,stage9_exit,25,319.68,18.9974,3.2012,stage7_entry,10000,10319.68
AAL,Industrials,16/11/2023,21/12/2023,stage9_exit,24,214.8,14.4122,2.1509,stage6_entry,10000,10214.8
AAL,Industrials,26/01/2024,31/01/2024,stop_hit,3,-98.88,-7.4808,-1,stage7_entry,10000,9901.12
AAL,Industrials,28/02/2024,05/03/2024,stage9_exit,4,-67.71,-3.9714,-0.6788,stage7_entry,10000,9932.29
AAL,Industrials,14/05/2024,21/05/2024,stage9_exit,5,-67.98,-4.3738,-0.6832,stage7_entry,10000,9932.02
AAL,Industrials,03/09/2024,05/11/2024,stage9_exit,45,279.45,23.0989,3.5078,stage6_entry,10000,10279.45
AAL,Industrials,07/11/2024,04/12/2024,stage9_exit,18,91.2,6.8867,0.916,stage7_entry,10000,10091.2
AAL,Industrials,06/12/2024,17/12/2024,stage9_exit,7,-66.78,-6.0537,-0.84,stage7_entry,10000,9933.22
AAL,Industrials,13/01/2025,24/01/2025,stage9_exit,8,-85.6,-5.971,-0.8583,stage7_entry,10000,9914.4
AAL,Industrials,13/05/2025,13/06/2025,stop_gap,22,-127.6,-12.3195,-1.2877,stage7_entry,10000,9872.4
AAL,Industrials,11/07/2025,24/07/2025,stop_hit,9,-99.05,-8.048,-1,stage7_entry,10000,9900.95
AAL,Industrials,13/08/2025,22/08/2025,stage9_exit,7,-40.95,-3.0069,-0.4117,stage7_entry,10000,9959.05
AAL,Industrials,25/08/2025,05/09/2025,stage9_exit,8,-36.75,-2.6375,-0.3694,stage7_entry,10000,9963.25
AAL,Industrials,24/10/2025,05/11/2025,stage9_exit,8,-24.96,-1.8462,-0.2501,stage7_entry,10000,9975.04
AAL,Industrials,03/12/2025,29/12/2025,stage9_exit,17,93.73,7.2179,0.9379,stage7_entry,10000,10093.73
AAMI,Financials,18/03/2022,06/04/2022,stop_gap,13,-101.2,-8.6308,-1.0243,stage7_entry,10000,9898.8
AAMI,Financials,12/08/2022,23/08/2022,stop_hit,7,-99.15,-5.4617,-1,stage7_entry,10000,9900.85
AAMI,Financials,14/10/2022,21/10/2022,stop_hit,5,-99.33,-8.2159,-1,stage7_entry,10000,9900.67
AAMI,Financials,01/11/2022,03/11/2022,stop_hit,2,-98.88,-6.9647,-1,stage7_entry,10000,9901.12
AAMI,Financials,11/11/2022,12/12/2022,stop_hit,20,-109.61,-8.1031,-1,stage7_entry,10000,9890.39
AAMI,Financials,20/01/2023,22/02/2023,stage9_exit,22,212.66,15.4505,2.6762,stage7_entry,10000,10212.66
AAMI,Financials,19/04/2023,25/04/2023,stage9_exit,4,-72.8,-3.7917,-0.7319,stage7_entry,10000,9927.2
AAMI,Financials,25/07/2023,02/08/2023,stop_hit,6,-99.77,-5.1163,-1,stage7_entry,10000,9900.23
AAMI,Financials,22/11/2023,05/02/2024,stage9_exit,49,309.12,18.0392,3.0961,stage7_entry,10000,10309.12
AAMI,Financials,12/07/2024,02/08/2024,stage9_exit,15,-3.88,-0.1686,-0.0353,stage7_entry,10000,9996.12
AAMI,Financials,03/09/2024,09/09/2024,stage9_exit,4,-89.24,-4.0182,-0.817,stage7_entry,10000,9910.76
