ticker,sector,entry_date,exit_date,exit_reason,hold_days,pnl_dollar,pnl_pct,pnl_r,signal_type,virtual_account,final_value
A,Healthcare,2022-03-21,2022-04-12,stop_hit,16,-96.07,-6.346,-1.0,stage7_entry,10000.0,9903.93
A,Healthcare,2022-05-31,2022-06-10,stop_hit,8,-95.29,-6.72,-1.0,stage7_entry,10000.0,9904.71
A,Healthcare,2022-07-22,2022-08-23,stage9_exit,22,74.1,4.4737,0.7413,stage7_entry,10000.0,10074.1
A,Healthcare,2022-10-27,2022-11-03,stage9_exit,5,-41.88,-2.5426,-0.4284,stage7_entry,10000.0,9958.12
A,Healthcare,2022-11-11,2022-12-06,stage9_exit,16,55.33,3.419,0.5924,stage7_entry,10000.0,10055.33
A,Healthcare,2022-12-14,2022-12-16,stage9_exit,2,-91.8,-4.8645,-0.964,stage7_entry,10000.0,9908.2
A,Healthcare,2023-01-24,2023-01-31,stage9_exit,5,-46.6,-2.982,-0.5826,stage7_entry,10000.0,9953.4
A,Healthcare,2023-07-20,2023-08-21,stop_hit,22,-107.59,-3.9594,-1.0,stage7_entry,10000.0,9892.41
A,Healthcare,2023-11-16,2024-01-04,stage9_exit,32,249.15,14.5778,2.5638,stage7_entry,10000.0,10249.15
A,Healthcare,2024-02-07,2024-02-13,stage9_exit,4,-92.7,-4.5268,-0.98,stage7_entry,10000.0,9907.3
A,Healthcare,2024-02-29,2024-03-26,stage9_exit,18,97.2,5.8905,1.2244,stage7_entry,10000.0,10097.2
A,Healthcare,2024-05-13,2024-05-24,stage9_exit,9,16.64,0.856,0.1783,stage7_entry,10000.0,10016.64
A,Healthcare,2024-08-01,2024-08-05,stop_hit,2,-97.34,-4.8882,-1.0,stage7_entry,10000.0,9902.66
A,Healthcare,2024-09-27,2024-10-08,stage9_exit,7,-34.98,-2.1606,-0.4538,stage7_entry,10000.0,9965.02
A,Healthcare,2024-12-10,2024-12-16,stage9_exit,4,-73.06,-3.896,-0.7727,stage7_entry,10000.0,9926.94
A,Healthcare,2025-01-15,2025-01-30,stage9_exit,10,67.34,3.337,0.71,stage7_entry,10000.0,10067.34
A,Healthcare,2025-05-13,2025-05-23,stop_hit,8,-99.77,-7.2029,-1.0,stage7_entry,10000.0,9900.23
A,Healthcare,2025-06-11,2025-06-23,stop_hit,7,-95.16,-5.2536,-1.0,stage7_entry,10000.0,9904.84
A,Healthcare,2025-07-11,2025-07-15,stop_hit,2,-99.53,-5.0602,-1.0,stage7_entry,10000.0,9900.47
A,Healthcare,2025-08-25,2025-09-11,stage9_exit,12,72.18,3.3004,0.7305,stage7_entry,10000.0,10072.18
A,Healthcare,2025-10-02,2025-10-30,stage9_exit,20,75.32,3.9113,0.7984,stage7_entry,10000.0,10075.32
