ticker,sector,spider_id
AAL,Industrials,SECTOR_INDUSTRIALS
AAMI,Financials,SECTOR_FINANCIALS
AAOI,Technology,SECTOR_TECHNOLOGY
AAP,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
AAPL,Technology,SECTOR_TECHNOLOGY
ABAT,Industrials,SECTOR_INDUSTRIALS
ABBV,Healthcare,SECTOR_HEALTHCARE
ABCB,Financials,SECTOR_FINANCIALS
ABNB,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
ABSI,Healthcare,SECTOR_HEALTHCARE
ABTC,Financials,SECTOR_FINANCIALS
ABUS,Healthcare,SECTOR_HEALTHCARE
ABX,Financials,SECTOR_FINANCIALS
ACAD,Healthcare,SECTOR_HEALTHCARE
ACHR,Industrials,SECTOR_INDUSTRIALS
ACIC,Financials,SECTOR_FINANCIALS
ACIW,Technology,SECTOR_TECHNOLOGY
ACLS,Technology,SECTOR_TECHNOLOGY
ACM,Industrials,SECTOR_INDUSTRIALS
ACMR,Technology,SECTOR_TECHNOLOGY
ACVA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
ADEA,Technology,SECTOR_TECHNOLOGY
ADNT,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
ADP,Technology,SECTOR_TECHNOLOGY
ADUS,Healthcare,SECTOR_HEALTHCARE
ADX,Financials,SECTOR_FINANCIALS
AEF,Financials,SECTOR_FINANCIALS
AEHR,Technology,SECTOR_TECHNOLOGY
AENT,Communication Services,SECTOR_COMMUNICATION_SERVICES
AEO,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY
AEP,Utilities,SECTOR_UTILITIES
AEVA,Technology,SECTOR_TECHNOLOGY
AFRM,Financials,SECTOR_FINANCIALS
AGD,Financials,SECTOR_FINANCIALS
AGL,Healthcare,SECTOR_HEALTHCARE
AGM,Financials,SECTOR_FINANCIALS
AGYS,Technology,SECTOR_TECHNOLOGY
AIO,Financials,SECTOR_FINANCIALS
AIR,Industrials,SECTOR_INDUSTRIALS
AIZ,Financials,SECTOR_FINANCIALS
AKBA,Healthcare,SECTOR_HEALTHCARE
AL,Industrials,SECTOR_INDUSTRIALS
ALDX,Healthcare,SECTOR_HEALTHCARE
